,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
752,2010 JU39,Aten Asteroid (Hazard),57800.0,0.919,0.5462,36.2083,311.3767,95.1934,42.0703,0.417,1.42,0.88,0.0047,18.0,19.6,1923-Jun-25 09:50 ± < 00:01,0.04285,0.04285,23.98,23.98,19.7,0.68,1.0,True
754,2003 YE45,Apollo Asteroid (Hazard),57800.0,1.2345,0.2801,19.0037,306.8154,286.2764,128.8996,0.8887,1.58,1.37,0.0359,153.0,17.6,1923-Jul-09 02:50 ± < 00:01,0.04933,0.04933,11.95,11.95,17.8,0.715,2.0,True
757,2014 KQ76,Apollo Asteroid (Hazard),57800.0,1.0076,0.4233,4.7742,324.7438,128.0419,22.4959,0.5811,1.43,1.01,0.0411,25.0,21.5,1923-Aug-30 20:40 ±    02:50,0.04115,0.04008,12.28,12.27,21.7,0.27,1.0,True
760,1999 UR,Apollo Asteroid (Hazard),57800.0,1.8983,0.5046,3.6005,18.0358,50.7306,212.8346,0.9404,2.86,2.62,0.0145,15.0,21.5,1923-Oct-29 06:28 ±    00:02,0.01773,0.01773,8.88,8.87,21.5,0.3,2.0,True
762,2001 VJ5,Apollo Asteroid (Hazard),52215.0,1.9372,0.562,6.0867,66.8904,45.2729,340.823,0.8484,3.03,2.7,0.0248,7.0,21.2,1923-Nov-20 21:42 ±    00:02,0.02156,0.02156,12.48,12.47,22.0,0.24,1.0,True
765,2015 YU7,Aten Asteroid (Hazard),57800.0,0.8194,0.4126,7.1885,44.1988,254.1339,310.9086,0.4814,1.16,0.74,0.0056,23.0,21.3,1923-Dec-08 22:44 ± < 00:01,0.03918,0.03909,13.08,13.08,21.4,0.32,1.0,True
770,2015 NZ13,Apollo Asteroid (Hazard),57800.0,2.0149,0.781,6.5891,239.4438,175.6054,178.0487,0.4413,3.59,2.86,0.0296,19.0,20.6,1924-Feb-28 23:18 ±    04:02,0.03928,0.03893,25.12,25.12,20.6,0.329,1.0,True
774,2016 BC14,Aten Asteroid (Hazard),57800.0,0.8697,0.1822,8.3792,337.0042,4.1091,253.702,0.7112,1.03,0.81,0.0105,41.0,20.9,1924-Mar-30 02:12 ±    00:07,0.02452,0.02446,6.32,6.3,20.9,0.258,1.0,True
777,2009 FE,Apollo Asteroid (Hazard),57800.0,2.5334,0.6101,1.9083,200.9882,39.855,333.2744,0.9877,4.08,4.03,0.0013,23.0,21.3,1924-Jun-28 06:21 ±    00:07,0.0371,0.03708,11.29,11.28,21.3,0.33,1.0,True
778,1998 FH12,Apollo Asteroid (Hazard),57800.0,1.091,0.5398,3.5596,284.4527,108.6354,295.534,0.5021,1.68,1.14,0.0129,78.0,19.2,1924-Jun-28 16:31 ±    00:01,0.02369,0.02367,16.35,16.35,19.3,0.82,2.0,True
781,1998 QP,Apollo Asteroid (Hazard),57800.0,1.7853,0.5831,9.3546,78.2225,326.6293,249.4185,0.7442,2.83,2.39,0.013,28.0,21.2,1924-Aug-22 03:41 ± < 00:01,0.01093,0.01092,16.35,16.34,21.7,0.27,2.0,True
791,2005 XT77,Aten Asteroid (Hazard),57800.0,0.841,0.2663,17.2194,149.9306,84.8208,38.2233,0.6171,1.06,0.77,0.0272,25.0,21.2,1924-Dec-18 02:58 ±    00:01,0.03434,0.03433,10.22,10.21,21.4,0.31,1.0,True
794,2016 CL136,Aten Asteroid (Hazard),57800.0,0.7297,0.6221,21.5108,23.5215,316.455,332.7674,0.2758,1.18,0.62,0.0282,14.0,21.4,1925-Feb-01 06:36 ± < 00:01,0.03164,0.03163,18.84,18.84,21.4,0.179,1.0,True
800,2004 TB10,Apollo Asteroid (Hazard),57800.0,1.1036,0.0939,22.5018,149.8888,12.8563,94.1336,0.9999,1.21,1.16,0.0118,14.0,21.3,1925-Apr-02 12:41 ± < 00:01,0.01301,0.01301,11.92,11.9,21.4,0.31,2.0,True
804,2007 MK13,Apollo Asteroid (Hazard),57800.0,1.0247,0.1398,19.8797,259.9593,95.0992,44.3232,0.8814,1.17,1.04,0.0328,50.0,20.0,1925-Jun-23 19:14 ±    00:09,0.03642,0.03638,11.3,11.29,20.2,0.395,1.0,True
805,2007 YQ56,Apollo Asteroid (Hazard),57800.0,1.1408,0.2879,26.4562,273.0814,276.0369,108.5933,0.8123,1.47,1.22,0.012,37.0,19.9,1925-Jun-27 05:16 ±    00:02,0.01763,0.0176,16.04,16.03,20.0,0.6,2.0,True
810,2012 LK11,Apollo Asteroid (Hazard),57800.0,2.427,0.5933,5.1507,159.9428,152.2126,74.6727,0.9871,3.87,3.78,0.0,19.0,20.3,1925-Jul-27 03:48 ±    00:26,0.04599,0.04598,8.66,8.66,20.3,0.52,1.0,True
811,2003 EG16,Apollo Asteroid (Hazard),57800.0,2.3923,0.6889,20.3754,110.5298,151.3939,254.6939,0.7443,4.04,3.7,0.0013,33.0,19.3,1925-Aug-26 16:43 ± < 00:01,0.02538,0.02538,21.08,21.08,19.3,0.82,2.0,True
812,2002 CU11,Apollo Asteroid (Hazard),57800.0,1.2196,0.2952,48.7802,110.5222,157.7641,340.3514,0.8596,1.58,1.35,0.0004,113.0,18.5,1925-Aug-30 23:38 ± < 00:01,0.00232,0.00231,26.48,26.43,18.6,0.47700000000000004,4.0,True
813,2009 FF,Apollo Asteroid (Hazard),57800.0,1.4742,0.4681,0.9824,10.9705,265.9204,103.6537,0.7841,2.16,1.79,0.015,18.0,21.8,1925-Sep-09 07:48 ±    00:01,0.02697,0.02696,12.38,12.37,21.8,0.26,1.0,True
815,2012 EY11,Apollo Asteroid (Hazard),57800.0,1.1483,0.1507,9.0212,238.8689,167.6183,102.3555,0.9752,1.32,1.23,0.0295,14.0,22.0,1925-Sep-17 10:18 ±    00:13,0.03757,0.03746,5.31,5.29,21.7,0.28,1.0,True
817,2014 TY33,Amor Asteroid (Hazard),57800.0,1.4129,0.2615,18.6653,180.4938,196.5683,144.1838,1.0434,1.78,1.68,0.0456,18.0,21.8,1925-Oct-09 03:11 ± < 00:01,0.04501,0.04501,10.56,10.55,21.8,0.26,1.0,True
820,2010 TP54,Apollo Asteroid (Hazard),57800.0,2.388,0.5973,3.4732,67.0348,351.7479,246.5131,0.9616,3.81,3.69,0.0399,24.0,21.7,1925-Oct-27 06:34 ±    00:13,0.04211,0.04211,8.76,8.76,21.7,0.27,1.0,True
821,2009 VZ,Apollo Asteroid (Hazard),57800.0,1.4123,0.3251,12.3076,221.4267,233.7041,96.3787,0.9531,1.87,1.68,0.022,27.0,21.3,1925-Nov-16 06:36 ±    00:02,0.03524,0.03523,9.52,9.51,21.3,0.33,1.0,True
822,1998 VF32,Aten Asteroid (Hazard),57800.0,0.8509,0.4438,23.7459,320.9128,236.2872,348.0938,0.4733,1.23,0.78,0.037,34.0,21.1,1925-Nov-21 20:30 ± < 00:01,0.04534,0.04533,15.83,15.82,21.0,0.38,1.0,True
824,2003 AF23,Aten Asteroid (Hazard),57800.0,0.8747,0.4259,23.2239,43.9665,286.7839,181.7587,0.5021,1.25,0.82,0.0329,32.0,21.0,1926-Jan-03 17:21 ± < 00:01,0.03531,0.0353,16.28,16.28,21.0,0.37,1.0,True
826,2015 AY245,Apollo Asteroid (Hazard),57800.0,1.1271,0.1095,13.5928,13.0209,143.6817,242.9668,1.0036,1.25,1.2,0.0188,23.0,21.2,1926-Feb-15 01:35 ± < 00:01,0.0405,0.0405,7.36,7.35,21.0,0.402,1.0,True
829,1992 FE,Aten Asteroid (Hazard),57800.0,0.9288,0.4061,4.7385,82.434,312.1147,66.1452,0.5516,1.31,0.9,0.0335,98.0,17.2,1926-Feb-24 00:19 ± < 00:01,0.04676,0.04676,11.03,11.02,17.4,0.55,2.0,True
832,2000 ED14,Aten Asteroid (Hazard),57800.0,0.835,0.5666,13.7775,310.1073,3.899,345.1587,0.3619,1.31,0.76,0.0358,40.0,20.8,1926-Mar-16 01:38 ± < 00:01,0.04057,0.04056,18.49,18.48,21.2,0.34,1.0,True
836,2006 GB,Aten Asteroid (Hazard),57800.0,0.959,0.1794,10.0622,242.8189,183.8304,309.1555,0.787,1.13,0.94,0.0102,39.0,20.3,1926-Mar-22 19:41 ±    00:02,0.04917,0.04905,8.03,8.02,20.2,0.53,1.0,True
837,2011 GM44,Aten Asteroid (Hazard),57800.0,0.7817,0.5189,49.3359,37.5325,10.8409,275.1206,0.3761,1.19,0.69,0.0236,18.0,19.5,1926-Mar-31 22:16 ± < 00:01,0.02377,0.02377,25.57,25.57,19.6,0.7,2.0,True
838,2011 DU,Apollo Asteroid (Hazard),57800.0,1.1717,0.3178,2.9438,120.1021,176.9392,147.867,0.7993,1.54,1.27,0.0173,80.0,21.0,1926-Apr-22 06:01 ±    00:01,0.0492,0.04919,10.82,10.81,21.1,0.36,1.0,True
845,2013 QR1,Apollo Asteroid (Hazard),57800.0,1.9502,0.7368,45.6218,279.3479,151.6226,82.4147,0.5133,3.39,2.72,0.0018,18.0,21.6,1926-Aug-23 21:02 ±    09:16,0.04046,0.03199,32.61,32.61,21.6,0.28,1.0,True
847,2008 JV19,Aten Asteroid (Hazard),57800.0,0.9856,0.2484,7.2246,310.5265,141.9916,90.2057,0.7408,1.23,0.98,0.0417,105.0,20.8,1926-Sep-01 06:12 ± < 00:01,0.04018,0.04017,7.92,7.91,20.8,0.41,1.0,True
848,2001 SG10,Apollo Asteroid (Hazard),57800.0,1.4486,0.4242,4.2572,101.5735,184.9859,332.033,0.8341,2.06,1.74,0.0175,54.0,20.4,1926-Sep-16 16:53 ± < 00:01,0.03368,0.03367,12.33,12.33,20.5,0.48,1.0,True
849,2009 UY17,Aten Asteroid (Hazard),57800.0,0.8184,0.3163,42.0443,30.543,202.0807,94.3857,0.5596,1.08,0.74,0.0153,9.0,20.9,1926-Oct-15 04:56 ± 2_08:58,0.01804,0.01454,21.28,21.28,20.9,0.39,2.0,True
851,2012 VL6,Apollo Asteroid (Hazard),57800.0,2.342,0.5672,8.8097,18.6254,19.7745,67.1528,1.0137,3.67,3.58,0.0318,21.0,20.8,1926-Oct-23 12:20 ±    01:27,0.03515,0.035,8.78,8.77,20.8,0.41,1.0,True
853,2008 YU32,Apollo Asteroid (Hazard),57800.0,1.537,0.5955,3.4099,83.9073,232.6443,134.6546,0.6217,2.45,1.91,0.0064,50.0,20.1,1926-Nov-09 15:06 ± < 00:01,0.02813,0.02813,19.13,19.12,20.2,0.53,1.0,True
854,2002 UK11,Apollo Asteroid (Hazard),57800.0,1.3231,0.5754,5.3686,84.4121,69.2796,94.4212,0.5617,2.08,1.52,0.0118,17.0,21.7,1926-Nov-15 22:36 ±    00:06,0.02896,0.02894,17.57,17.56,21.9,0.25,1.0,True
866,2000 RS11,Apollo Asteroid (Hazard),57800.0,1.2802,0.3205,17.0971,301.6587,172.2024,40.907,0.8699,1.69,1.45,0.0085,101.0,19.1,1927-Mar-14 08:54 ± < 00:01,0.00808,0.00808,12.08,12.05,19.2,0.85,3.0,True
869,1998 HD14,Aten Asteroid (Hazard),57800.0,0.9633,0.3127,7.8072,260.8126,183.8805,54.8424,0.6621,1.26,0.95,0.034,34.0,21.1,1927-Apr-07 20:25 ±    00:02,0.03897,0.03895,10.33,10.32,21.0,0.38,1.0,True
872,2002 YP2,Apollo Asteroid (Hazard),57800.0,1.5769,0.6883,20.6234,281.3709,52.5165,78.1174,0.4916,2.66,1.98,0.0205,40.0,19.0,1927-May-11 05:17 ± < 00:01,0.03283,0.03283,24.19,24.19,19.1,0.89,2.0,True
879,2014 CY4,Apollo Asteroid (Hazard),57800.0,2.6515,0.8192,15.0179,289.2496,126.7878,265.3034,0.4795,4.82,4.32,0.0419,19.0,21.1,1927-Aug-11 05:09 ±    00:03,0.03353,0.03347,25.71,25.71,20.3,0.827,1.0,True
883,2016 EU85,Apollo Asteroid (Hazard),57800.0,1.8485,0.4825,2.5971,23.4856,359.4506,224.8739,0.9566,2.74,2.51,0.0061,8.0,19.2,1927-Nov-10 08:59 ±    00:29,0.03397,0.03397,8.16,8.15,19.5,0.76,2.0,True
884,2006 SU19,Apollo Asteroid (Hazard),57800.0,1.5268,0.5865,2.0916,10.555,152.2551,70.1398,0.6314,2.42,1.89,0.0351,51.0,18.8,1927-Dec-08 11:31 ±    00:02,0.04861,0.04859,16.19,16.18,19.0,0.95,1.0,True
887,2011 BT15,Apollo Asteroid (Hazard),57800.0,1.2931,0.3025,1.6613,308.7605,105.3762,70.1996,0.902,1.68,1.47,0.0007,64.0,21.7,1928-Jan-10 23:05 ±    00:14,0.04881,0.04869,8.41,8.41,21.7,0.27,1.0,True
888,2004 CO49,Apollo Asteroid (Hazard),57800.0,1.375,0.3884,4.2602,315.8891,115.1635,59.1147,0.841,1.91,1.61,0.0212,19.0,21.6,1928-Jan-27 05:46 ±    00:02,0.03715,0.03715,8.85,8.84,21.6,0.28,1.0,True
889,2010 FR,Apollo Asteroid (Hazard),57800.0,1.1318,0.3654,14.2382,272.5768,167.3228,325.538,0.7183,1.55,1.2,0.005,37.0,21.7,1928-Mar-10 07:43 ± < 00:01,0.01343,0.01343,12.95,12.94,21.7,0.27,2.0,True
890,2011 DV,Aten Asteroid (Hazard),57800.0,0.9568,0.0498,10.5946,350.7376,35.1439,272.5905,0.9091,1.0,0.94,0.0023,29.0,20.6,1928-Apr-25 17:05 ±    02:03,0.00594,0.00272,5.55,5.47,20.6,0.45,3.0,True
892,2004 MD6,Aten Asteroid (Hazard),57800.0,0.9508,0.5629,29.3254,231.4333,263.8766,310.656,0.4156,1.49,0.93,0.0086,26.0,20.4,1928-Jun-14 16:34 ± < 00:01,0.01768,0.01768,21.12,21.11,20.5,0.48,2.0,True
895,2015 BN311,Apollo Asteroid (Hazard),57800.0,1.4158,0.3236,16.814,228.1224,98.5951,210.7833,0.9577,1.87,1.68,0.0217,7.0,20.5,1928-Jul-02 03:12 ±    00:26,0.01985,0.01983,11.38,11.37,20.5,0.47,2.0,True
898,2012 OO,Amor Asteroid (Hazard),57800.0,1.6964,0.3836,4.8352,179.8888,160.921,8.8789,1.0457,2.35,2.21,0.0378,63.0,20.6,1928-Aug-28 16:57 ±    00:04,0.03838,0.03838,5.47,5.46,20.6,0.45,1.0,True
904,2008 TC4,Aten Asteroid (Hazard),57800.0,0.7805,0.5544,10.6452,324.2572,212.6242,277.4851,0.3478,1.21,0.69,0.0032,25.0,21.5,1928-Oct-23 22:29 ± < 00:01,0.0449,0.04489,14.19,14.19,21.6,0.28,1.0,True
905,2004 FW1,Apollo Asteroid (Hazard),57800.0,1.611,0.717,10.1675,91.1669,194.6672,86.2185,0.456,2.77,2.04,0.0479,15.0,21.0,1928-Oct-24 22:36 ±    00:05,0.04669,0.04668,24.48,24.48,20.9,0.39,1.0,True
906,2016 XG1,Apollo Asteroid (Hazard),57738.0,1.4192,0.7682,10.2915,224.7749,62.3961,58.6632,0.329,2.51,1.69,0.0387,3.0,21.9,1928-Nov-11 03:34 ±    00:45,0.04615,0.04593,26.65,26.65,21.8,0.25,1.0,True
907,2013 NJ,Apollo Asteroid (Hazard),57800.0,1.286,0.2837,3.9394,140.2952,238.6146,100.9255,0.9212,1.65,1.46,0.0063,69.0,21.9,1928-Nov-17 00:04 ± 6_06:32,0.03559,0.017,5.91,5.9,22.0,0.24,1.0,True
909,2010 RF181,Apollo Asteroid (Hazard),57800.0,2.2086,0.547,6.2481,2.1531,51.1621,325.8246,1.0004,3.42,3.28,0.012,24.0,20.7,1928-Nov-18 15:47 ±    00:01,0.02094,0.02093,7.88,7.86,20.7,0.43,2.0,True
910,2005 LW3,Apollo Asteroid (Hazard),57800.0,1.4319,0.4625,6.0631,288.1462,59.6951,254.5473,0.7697,2.09,1.71,0.0008,12.0,21.7,1928-Nov-20 20:32 ± < 00:01,0.01072,0.01072,12.95,12.93,21.9,0.25,2.0,True
911,2008 UW91,Apollo Asteroid (Hazard),57800.0,1.1464,0.5716,7.3184,282.7701,248.0868,197.2616,0.4911,1.8,1.23,0.0207,16.0,21.6,1928-Nov-21 07:16 ±    00:01,0.03322,0.0332,17.63,17.62,21.7,0.27,1.0,True
912,2017 BP5,Apollo Asteroid (Hazard),57777.0,1.6164,0.7275,22.3072,72.138,251.3163,43.7223,0.4405,2.79,2.06,0.0024,4.0,20.31,1928-Dec-02 06:58 ±    00:09,0.03725,0.03711,25.35,25.35,20.5,0.47,1.0,True
923,2002 AP3,Apollo Asteroid (Hazard),57800.0,2.0431,0.5882,7.5994,117.6425,87.4498,30.2299,0.8413,3.24,2.92,0.0107,11.0,19.8,1929-Jun-07 20:57 ±    00:06,0.04926,0.04924,12.65,12.64,20.0,0.6,1.0,True
924,2010 UQ7,Apollo Asteroid (Hazard),57800.0,2.4538,0.6787,4.5117,76.4691,236.9651,245.8671,0.7885,4.12,3.84,0.018,32.0,20.1,1929-Jun-08 12:08 ±    00:06,0.02445,0.02444,15.03,15.02,20.1,0.57,2.0,True
926,2013 CU83,Amor Asteroid (Hazard),57800.0,1.2837,0.1821,10.35,18.5684,303.4339,80.1476,1.0499,1.52,1.45,0.0424,17.0,21.4,1929-Jul-28 12:44 ±    00:01,0.04176,0.04175,6.01,6.0,21.3,0.32,1.0,True
927,2014 MK55,Apollo Asteroid (Hazard),57800.0,1.3705,0.3701,2.9342,207.7675,162.9676,171.462,0.8632,1.88,1.6,0.0298,19.0,21.4,1929-Aug-01 09:11 ± < 00:01,0.0323,0.0323,8.99,8.98,21.6,0.28,1.0,True
929,2016 EJ56,Apollo Asteroid (Hazard),57800.0,1.391,0.4548,28.3838,95.0975,168.6593,156.255,0.7584,2.02,1.64,0.0396,8.0,21.6,1929-Sep-07 22:21 ± < 00:01,0.04365,0.04364,19.46,19.45,21.7,0.27,1.0,True
930,1998 SU4,Apollo Asteroid (Hazard),57800.0,1.148,0.5804,23.1554,241.7917,350.6323,41.4769,0.4817,1.81,1.23,0.0208,25.0,21.3,1929-Sep-10 21:30 ±    00:02,0.02589,0.02588,21.96,21.96,21.3,0.33,1.0,True
936,2012 TY52,Apollo Asteroid (Hazard),57800.0,1.6638,0.5528,9.6374,252.67,221.7496,330.8175,0.744,2.58,2.15,0.0004,24.0,21.4,1929-Nov-05 05:31 ± 2_22:44,0.02211,0.00517,14.69,14.68,21.3,0.33,1.0,True
939,2015 XU378,Apollo Asteroid (Hazard),57600.0,1.9738,0.4861,23.7616,3.0531,89.7189,79.0817,1.0144,2.93,2.77,0.0298,8.0,21.4,1929-Dec-22 04:31 ±    02:59,0.03185,0.03148,14.8,14.79,21.4,0.31,1.0,True
941,2016 AK193,Aten Asteroid (Hazard),57800.0,0.8702,0.2717,17.3611,324.3827,306.9242,342.6161,0.6338,1.11,0.81,0.0398,27.0,22.0,1930-Jan-31 13:47 ± < 00:01,0.03912,0.03912,11.24,11.24,22.0,0.24,1.0,True
942,2000 QV7,Apollo Asteroid (Hazard),57800.0,1.409,0.5231,9.1247,79.4866,154.8062,347.2624,0.672,2.15,1.67,0.0171,24.0,21.4,1930-Feb-16 04:40 ±    00:02,0.02795,0.02793,17.0,17.0,21.6,0.29,1.0,True
945,1999 TT16,Apollo Asteroid (Hazard),57800.0,2.1663,0.6671,1.9837,147.9905,329.0237,127.704,0.7212,3.61,3.19,0.0223,23.0,19.6,1930-Mar-26 03:17 ±    00:03,0.03314,0.03312,16.19,16.19,19.8,0.66,1.0,True
946,2007 EL88,Apollo Asteroid (Hazard),57800.0,1.1196,0.5219,30.843,116.1665,198.4724,66.0357,0.5353,1.7,1.18,0.0356,39.0,19.0,1930-Apr-10 15:32 ± < 00:01,0.03495,0.03495,22.62,22.62,19.1,0.91,2.0,True
955,2016 FG60,Apollo Asteroid (Hazard),57800.0,1.4061,0.6089,9.3157,102.1623,297.5281,276.5769,0.55,2.26,1.67,0.0001,5.0,21.1,1930-Jul-21 10:31 ±    03:22,0.02766,0.02491,18.59,18.59,21.2,0.34,1.0,True
957,2014 SP142,Apollo Asteroid (Hazard),57800.0,1.1606,0.4201,5.5725,81.1979,125.2118,76.5175,0.6731,1.65,1.25,0.0014,5.0,21.7,1930-Jul-27 06:16 ±    15:50,0.01227,0.00263,12.8,12.79,21.7,0.27,2.0,True
958,2014 QL433,Apollo Asteroid (Hazard),57800.0,2.0921,0.7179,4.4279,260.3853,322.8831,326.7568,0.5902,3.59,3.03,0.0097,12.0,20.0,1930-Aug-10 06:35 ±    00:06,0.0415,0.04144,23.39,23.38,19.9,0.62,1.0,True
962,2003 GY,Apollo Asteroid (Hazard),57800.0,1.3797,0.3171,4.6742,334.1399,321.8261,133.1106,0.9421,1.82,1.62,0.0225,87.0,20.2,1930-Sep-04 16:04 ± < 00:01,0.04066,0.04066,8.38,8.37,20.2,0.54,1.0,True
963,1998 SZ27,Aten Asteroid (Hazard),51081.0,0.9013,0.5013,23.2325,47.3796,166.8544,92.8948,0.4495,1.35,0.86,0.0081,11.0,20.6,1930-Sep-08 07:41 ± < 00:01,0.0131,0.0131,18.55,18.53,20.3,0.52,2.0,True
964,1998 QK28,Apollo Asteroid (Hazard),57800.0,2.3351,0.5809,7.8913,204.5713,174.6928,53.0085,0.9787,3.69,3.57,0.006,23.0,19.4,1930-Sep-17 02:05 ±    00:08,0.01412,0.0141,9.92,9.9,19.2,0.86,2.0,True
969,2005 TU50,Apollo Asteroid (Hazard),57800.0,1.4262,0.5963,12.4219,259.5457,22.3048,269.7824,0.5757,2.28,1.7,0.0104,30.0,21.4,1930-Oct-13 15:07 ± < 00:01,0.0209,0.0209,20.34,20.33,21.4,0.3,1.0,True
971,2004 OB,Apollo Asteroid (Hazard),57800.0,1.6806,0.4305,3.4429,223.2455,174.5884,228.9642,0.957,2.4,2.18,0.0117,107.0,18.9,1930-Oct-21 21:31 ±    01:07,0.04838,0.04834,6.6,6.59,19.0,0.96,1.0,True
972,2013 RH74,Apollo Asteroid (Hazard),57800.0,2.2851,0.5938,5.52,226.7197,201.0833,338.5643,0.9282,3.64,3.45,0.0187,49.0,20.9,1930-Nov-02 10:34 ±    00:03,0.04479,0.04478,9.77,9.76,20.9,0.39,1.0,True
978,2013 EM20,Apollo Asteroid (Hazard),57800.0,1.3717,0.3182,8.3589,350.0447,73.9626,239.1589,0.9352,1.81,1.61,0.0423,26.0,19.8,1930-Dec-19 08:50 ±    00:02,0.04411,0.04411,7.42,7.42,19.9,0.62,1.0,True
980,2009 XZ1,Aten Asteroid (Hazard),57800.0,0.8557,0.5338,8.1577,152.9717,82.0017,263.1091,0.3989,1.31,0.79,0.0422,31.0,21.7,1930-Dec-30 11:37 ± < 00:01,0.04066,0.04066,16.1,16.09,21.7,0.27,1.0,True
984,2000 EV70,Apollo Asteroid (Hazard),57800.0,1.2073,0.5311,1.3989,314.4906,108.9359,320.5363,0.5661,1.85,1.33,0.0119,64.0,20.6,1931-Mar-07 19:31 ± < 00:01,0.02076,0.02076,16.25,16.24,20.6,0.45,2.0,True
985,2006 FX,Apollo Asteroid (Hazard),57800.0,1.4952,0.4382,24.6314,299.4574,181.2168,13.3078,0.84,2.15,1.83,0.0021,40.0,20.0,1931-Mar-25 04:57 ± < 00:01,0.04679,0.04678,17.77,17.76,20.0,0.59,1.0,True
986,2016 EH157,Apollo Asteroid (Hazard),57800.0,2.4352,0.6243,10.0387,198.2385,22.8778,76.7169,0.9148,3.96,3.8,0.049,20.0,21.1,1931-Apr-19 02:14 ±    00:09,0.03714,0.03713,11.0,10.99,21.1,0.28400000000000003,1.0,True
987,2003 KO2,Aten Asteroid (Hazard),57800.0,0.7276,0.5107,23.5,204.0178,215.4917,225.1527,0.356,1.1,0.62,0.0014,57.0,20.5,1931-Apr-26 15:54 ± < 00:01,0.03525,0.03525,14.63,14.63,20.4,0.5,1.0,True
988,2005 NZ6,Apollo Asteroid (Hazard),57800.0,1.8341,0.8643,8.4885,48.2864,39.4405,206.6349,0.2488,3.42,2.48,0.0081,72.0,17.4,1931-Apr-28 13:28 ±    00:01,0.04815,0.04813,32.14,32.13,17.5,2.468,2.0,True
992,2005 EY95,Apollo Asteroid (Hazard),57800.0,1.0834,0.5384,3.17,342.0512,72.9205,270.8342,0.5001,1.67,1.13,0.0399,51.0,20.3,1931-Jul-21 00:02 ±    00:02,0.03979,0.03978,16.41,16.4,20.3,0.51,1.0,True
998,2002 SZ,Apollo Asteroid (Hazard),57800.0,1.2974,0.4334,22.8939,276.5178,346.8789,315.0522,0.7351,1.86,1.48,0.0012,37.0,20.4,1931-Sep-08 21:53 ± < 00:01,0.02472,0.02471,17.07,17.07,20.5,0.47,2.0,True
1001,2002 QQ40,Apollo Asteroid (Hazard),57800.0,1.2149,0.564,1.7199,356.5668,104.0208,233.3834,0.5297,1.9,1.34,0.0281,16.0,21.4,1931-Sep-14 00:14 ±    00:16,0.03825,0.03808,18.06,18.06,21.5,0.3,1.0,True
1002,2017 AY13,Apollo Asteroid (Hazard),57800.0,1.9601,0.5564,5.7517,223.9702,182.073,35.5474,0.8696,3.05,2.74,0.0121,5.0,21.4,1931-Sep-17 03:05 ± 1_14:21,0.01658,0.01562,12.29,12.27,21.5,0.3,2.0,True
1003,1998 QA62,Apollo Asteroid (Hazard),51065.0,2.0659,0.7461,24.8952,273.1306,181.6165,343.6698,0.5245,3.61,2.97,0.0235,24.0,19.0,1931-Sep-21 06:48 ± < 00:01,0.04534,0.04533,26.62,26.62,19.3,0.82,1.0,True
1006,2005 JU81,Apollo Asteroid (Hazard),57800.0,1.1165,0.2774,17.2881,72.4848,56.3517,60.6805,0.8068,1.43,1.18,0.0287,14.0,21.7,1931-Nov-13 12:12 ± < 00:01,0.04505,0.04505,12.58,12.58,21.8,0.26,1.0,True
1007,2017 BR31,Apollo Asteroid (Hazard),57783.0,2.1581,0.5535,7.9283,184.6692,251.1859,10.6673,0.9636,3.35,3.17,0.0212,4.0,21.38,1931-Dec-07 00:07 ±    01:07,0.03002,0.02999,9.06,9.05,21.4,0.31,1.0,True
1008,1993 BX3,Apollo Asteroid (Hazard),57800.0,1.3948,0.2807,2.7909,289.9816,175.5589,229.9622,1.0033,1.79,1.65,0.0479,34.0,20.8,1932-Jan-13 03:30 ±    00:04,0.04843,0.04843,3.48,3.46,20.7,0.43,1.0,True
1009,2000 YF29,Apollo Asteroid (Hazard),57800.0,1.4916,0.3712,6.2988,27.9405,124.8689,281.4473,0.9379,2.05,1.82,0.0095,39.0,20.3,1932-Jan-17 13:49 ±    00:03,0.02094,0.02094,8.14,8.13,20.3,0.52,2.0,True
1011,2006 AM4,Aten Asteroid (Hazard),57800.0,0.9822,0.6492,4.1343,139.7679,123.2087,61.9054,0.3446,1.62,0.97,0.0112,48.0,21.8,1932-Feb-02 00:52 ±    00:10,0.02769,0.02745,20.36,20.35,21.8,0.26,1.0,True
1013,2014 OJ392,Apollo Asteroid (Hazard),57800.0,1.168,0.2922,35.3532,242.1261,316.9376,93.4089,0.8268,1.51,1.26,0.0428,5.0,21.6,1932-Feb-04 12:35 ± 8_10:03,0.04339,0.04231,20.82,20.81,21.7,0.27,1.0,True
1014,1995 CR,Aten Asteroid (Hazard),53483.0,0.9067,0.8684,4.0352,322.3923,342.7833,229.7763,0.1193,1.69,0.86,0.013,28.0,21.7,1932-Feb-21 22:47 ±    00:06,0.03691,0.03678,28.78,28.78,21.8,0.26,1.0,True
