,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
44,2013 QU1,Apollo Asteroid (Hazard),57800.0,1.184,0.2495,35.2407,55.2145,149.1572,348.0208,0.8886,1.48,1.29,0.0155,12.0,21.3,1901-Feb-17 05:55 ±    00:03,0.01574,0.01573,19.95,19.94,21.2,0.35,2.0,True
45,2009 DM45,Apollo Asteroid (Hazard),57800.0,1.1722,0.3673,26.6903,90.8791,336.3654,150.2512,0.7417,1.6,1.27,0.0086,11.0,21.3,1901-Feb-24 06:46 ±    00:08,0.02657,0.02645,17.72,17.72,21.2,0.34,1.0,True
48,2008 RG1,Apollo Asteroid (Hazard),57800.0,1.3154,0.4428,13.092,257.3161,347.8576,270.7234,0.7329,1.9,1.51,0.014,38.0,20.7,1901-Mar-03 23:45 ±    00:08,0.02364,0.02358,15.28,15.27,20.9,0.39,1.0,True
50,2002 DJ5,Apollo Asteroid (Hazard),57800.0,1.4004,0.5676,6.4404,296.1304,347.968,295.9914,0.6055,2.2,1.66,0.0399,23.0,19.8,1901-Mar-29 16:38 ±    00:02,0.04651,0.04649,17.23,17.22,19.9,0.63,1.0,True
53,2006 WH1,Apollo Asteroid (Hazard),57800.0,1.6737,0.4852,2.6421,263.2747,240.6246,229.5174,0.8616,2.49,2.17,0.0236,48.0,20.2,1901-Apr-12 00:37 ± < 00:01,0.04613,0.04612,11.78,11.78,20.3,0.51,1.0,True
55,2006 HC2,Apollo Asteroid (Hazard),57800.0,1.7095,0.4869,3.7486,66.62,198.2206,281.9584,0.8771,2.54,2.24,0.0159,18.0,21.8,1901-Apr-19 19:01 ±    00:15,0.01701,0.01695,11.86,11.85,21.8,0.26,2.0,True
56,2014 SM143,Apollo Asteroid (Hazard),57800.0,1.2058,0.4227,24.2146,89.5825,28.8551,229.2577,0.6962,1.72,1.32,0.0049,36.0,20.3,1901-Apr-20 20:15 ±    00:10,0.03116,0.03102,18.06,18.06,20.4,0.5,1.0,True
58,2003 YT1,Apollo Asteroid (Hazard),57800.0,1.1096,0.2919,44.0634,91.0584,38.3352,34.0846,0.7857,1.43,1.17,0.0025,108.0,16.2,1901-Apr-26 12:50 ± < 00:01,0.04912,0.04912,23.21,23.21,16.3,2.2670000000000003,2.0,True
59,2006 JF42,Aten Asteroid (Hazard),57800.0,0.6717,0.5818,5.953,17.7766,40.9019,335.3188,0.2809,1.06,0.55,0.0031,34.0,19.1,1901-Apr-29 21:42 ± 5_07:35,0.04682,0.00166,13.61,13.6,19.1,0.91,1.0,True
63,2003 MH4,Apollo Asteroid (Hazard),57800.0,1.9635,0.5139,3.8834,322.9977,259.8398,5.2395,0.9544,2.97,2.75,0.003,69.0,20.0,1901-Jun-04 10:24 ± < 00:01,0.01416,0.01416,9.14,9.12,20.1,0.374,2.0,True
