Object Name,CA DistanceNominal (au)
2009 WM1,0.01716
2013 QR1,0.04046
2016 HN3,0.03024
2005 AV27,0.04123
2006 WJ3,0.02037
2003 EF54,0.04822
2015 NZ13,0.03928
2003 SD220,0.0233
2015 DH155,0.04828
2007 RV9,0.03921
1998 HT31,0.0318
1998 XN2,0.04038
2013 BO76,0.04294
2003 TR9,0.03796
2013 BO73,0.03922
2007 VM184,0.0296
2002 KG4,0.04164
2004 JA27,0.04514
2002 AY1,0.04099
2016 KR3,0.03739
2005 UR,0.04122
2012 HZ33,0.03761
2015 WA2,0.01844
2017 CS,0.02036
2011 UH20,0.01207
2015 BN509,0.04165
2004 UR1,0.0177
2006 LD1,0.04073
2009 FU23,0.0475
1998 BB10,0.02296
2015 EO61,0.04484
2013 YP139,0.01058
1992 FE,0.04676
2015 UR51,0.04988
2006 RZ,0.0136
2005 TS15,0.01142
2011 EG17,0.04767
2008 XQ2,0.01743
2002 AS4,0.03864
2006 TA8,0.04507
2007 RU9,0.03951
2009 TK12,0.04756
2005 CJ,0.01368
2011 JA,0.02419
2014 WZ120,0.0208
2013 FA8,0.00368
2007 YV56,0.01954
2003 WP21,0.04478
2005 WB1,0.04806
2006 MZ1,0.0139
2014 DN112,0.01201
2011 CC22,0.03047
2011 GA,0.02493
2006 WH1,0.04613
2002 TD66,0.04282
2005 GJ8,0.04437
2013 JN7,0.0414
1994 XL1,0.03622
2007 TL23,0.03749
1997 QK1,0.02013
2010 GU21,0.04693
2013 VO5,0.01842
1998 VD35,0.0258
2010 DW1,0.04706
1998 SU4,0.02589
2011 BM45,0.02948
2007 AB2,0.01447
6344 P-L,0.03929
2013 QU1,0.01574
2011 YE6,0.04692
2006 HV5,0.01948
2001 SG10,0.03368
2016 NL56,0.02618
2010 JE88,0.02549
2015 HR11,0.02548
2017 BF3,0.02243
2016 TA57,0.03716
2006 HT30,0.04863
1998 XX2,0.02292
2006 VC,0.03798
2003 DX10,0.04412
2012 BU61,0.03065
2004 BW58,0.03721
2015 CV13,0.02689
2013 EV108,0.03475
2007 DY40,0.04041
2010 XA68,0.04842
2011 UG20,0.03986
2014 WE365,0.03522
2016 BE1,0.02986
2005 EW169,0.0498
2014 PG51,0.04445
2014 QO296,0.02982
2000 GF2,0.01722
2005 YQ96,0.02477
1995 CR,0.03691
2006 SF6,0.01976
2010 VZ,0.03997
2008 RG1,0.02364
1998 VF32,0.04534
2011 YG6,0.03585
2001 FC58,0.01429
2005 WK4,0.01867
2008 EM7,0.03278
2016 FG60,0.02766
2001 TX44,0.01735
2000 UG11,0.02861
2013 ED28,0.04957
2015 BN311,0.01985
2000 ED14,0.04057
2003 AF23,0.03531
2011 KO17,0.04878
2004 GE2,0.03322
2014 KP84,0.0246
2016 KL1,0.04975
2000 EE104,0.04109
2008 OC6,0.03482
2013 EM20,0.04411
2002 MX,0.04148
2006 HD2,0.04919
2011 YV62,0.03584
2008 UE7,0.04377
2001 FA58,0.01182
2007 AG,0.00963
2013 KZ1,0.04475
2014 HQ124,0.01529
2008 YF,0.04707
2009 DM45,0.02657
2000 SP43,0.04312
2007 DL41,0.04741
2009 BD81,0.04597
2007 TU24,0.0037
2002 AV,0.02132
2001 HY7,0.03909
2002 LX64,0.04111
2006 BX39,0.02114
2002 MR3,0.04618
2012 BJ86,0.0454
2008 QS11,0.02768
2010 XC25,0.04459
2003 UV11,0.01295
2013 JL22,0.04227
1999 JV6,0.03644
2000 QW7,0.03398
2010 CO1,0.03561
2008 DG5,0.02982
2015 JD1,0.03789
2008 DK5,0.01145
2008 RM98,0.00559
2005 TU50,0.0209
2015 DV215,0.04302
2016 XG1,0.04615
2003 GY,0.04066
2002 QW47,0.01728
1990 UA,0.03867
2005 YU55,0.01519
2014 EQ49,0.03447
2008 TZ3,0.03373
2007 AV2,0.0423
2009 KD3,0.04059
2004 UU1,0.03663
2007 ED125,0.01358
2006 TS7,0.02751
2012 LK11,0.04599
1988 TA,0.02548
2004 QD14,0.0311
2012 XJ134,0.0192
2016 XA2,0.04477
2008 SC,0.04664
2003 AA3,0.03772
2014 MF6,0.0233
2016 AC65,0.03076
2005 UW6,0.04579
2003 WR21,0.03088
2014 TN17,0.04537
2014 KT76,0.0309
2009 XO,0.04673
1998 VO,0.03113
