,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
786,(2005 XX77),Apollo Asteroid,57800,1.5267,0.3463,5.717,329.8442,79.2478,349.1486,0.998,2.06,1.89,0.0326,9,23.9
787,(2005 YD),Apollo Asteroid,53729,1.6527,0.4257,4.7837,314.148,90.7009,18.5418,0.9492,2.36,2.12,0.0219,10,24.5
788,(2005 YK),Apollo Asteroid,57800,1.0618,0.3078,5.63,80.4081,269.5635,136.7098,0.7349,1.39,1.09,0.0086,6,26.9
789,(2005 YY1),Apollo Asteroid,57800,1.1641,0.2524,8.342,279.2112,84.0599,15.9489,0.8703,1.46,1.26,0.0327,10,23.1
791,(2005 YR3),Aten Asteroid,57800,0.8199,0.2735,3.2808,218.0242,75.2752,164.4575,0.5957,1.04,0.74,0.0047,24,23.1
792,(2005 YU8),Apollo Asteroid,53733,2.009,0.5419,4.0279,237.2927,279.2976,343.6669,0.9204,3.1,2.85,0.0249,12,23.7
793,(2005 YN128),Apollo Asteroid,53737,1.6591,0.4422,2.5735,117.5931,284.9939,21.7203,0.9255,2.39,2.14,0.019,7,24.1
795,(2005 YU128),Aten Asteroid,57800,0.7716,0.3219,7.7512,189.9591,100.6594,310.7877,0.5232,1.02,0.68,0.023,7,25.3
796,(2006 AN),Apollo Asteroid,57800,1.0942,0.2205,7.4068,273.4245,277.6155,194.6856,0.8529,1.34,1.14,0.0058,13,24.3
798,(2006 AB3),Apollo Asteroid,57800,1.7134,0.4102,8.4167,189.5402,285.0038,339.4723,1.0105,2.42,2.24,0.0304,7,26.8
799,(2006 AC3),Apollo Asteroid,53743,2.3451,0.5736,3.0575,322.6745,108.737,8.5715,0.9999,3.69,3.59,0.032,8,24.2
800,(2006 AP3),Amor Asteroid,57800,1.7216,0.3727,9.9912,172.3494,289.7505,333.3974,1.0801,2.36,2.26,0.0984,10,23.8
803,(2006 AU3),Apollo Asteroid,57800,2.2673,0.5656,1.4173,0.016,114.7072,89.0204,0.9848,3.55,3.41,0.0014,6,26.3
804,(2006 AF4),Amor Asteroid,53747,2.2928,0.5499,6.7029,132.2376,296.1442,11.3553,1.032,3.55,3.47,0.0881,10,23.8
805,(2006 AG4),Amor Asteroid,57800,2.5423,0.5276,5.6248,339.6667,107.4847,270.5101,1.201,3.88,4.05,0.2205,8,23.1
806,(2006 AH4),Apollo Asteroid,53744,1.9243,0.4718,0.6656,208.6785,279.3143,353.9513,1.0163,2.83,2.67,0.0321,6,26.3
808,(2006 AL4),Amor Asteroid,57800,2.519,0.5907,2.7662,28.29,102.9832,274.3482,1.031,4.01,4.0,0.0511,9,24.8
809,(2006 AN8),Amor Asteroid,53745,1.4947,0.2256,3.6553,171.0811,303.1376,357.6917,1.1576,1.83,1.83,0.1742,5,24.4
810,(2006 AW44),Amor Asteroid,57800,2.4841,0.5629,8.6589,0.9055,108.6421,299.2074,1.0858,3.88,3.92,0.1027,10,23.4
811,(2006 AX44),Amor Asteroid,57800,1.5773,0.3016,2.2941,22.6544,111.1104,204.478,1.1016,2.05,1.98,0.1172,11,24.8
812,(2006 BF),Apollo Asteroid,57800,1.4708,0.3903,5.0019,322.2617,101.8057,99.0997,0.8968,2.04,1.78,0.0123,12,23.6
814,(2006 BP7),Apollo Asteroid,57800,2.3331,0.5822,4.844,111.3466,326.1383,47.6331,0.9747,3.69,3.56,0.0636,9,23.3
815,(2006 BQ7),Apollo Asteroid,53759,1.348,0.2579,4.9818,155.0596,302.1452,15.6659,1.0004,1.7,1.57,0.0282,7,26.5
817,(2006 BW7),Apollo Asteroid,53760,1.4779,0.4096,1.3715,116.9518,305.4887,27.0047,0.8726,2.08,1.8,0.0044,7,26.5
818,(2006 BX7),Apollo Asteroid,57800,1.1394,0.2821,4.8987,77.5068,313.29,94.6982,0.8179,1.46,1.22,0.0081,8,24.6
819,(2006 BY7),Amor Asteroid,57800,1.8754,0.4553,3.1767,162.3929,302.6813,117.161,1.0216,2.73,2.57,0.0414,8,25.9
820,(2006 BA8),Amor Asteroid,53762,1.8394,0.3692,9.3033,177.3071,305.0314,2.5926,1.1603,2.52,2.49,0.176,10,24.1
821,(2006 BB8),Apollo Asteroid,57800,1.6382,0.4405,7.3374,313.118,121.5062,119.0332,0.9166,2.36,2.1,0.0149,8,24.5
822,(2006 BC8),Apollo Asteroid,57800,1.2273,0.4318,6.896,91.1787,303.3429,91.8809,0.6973,1.76,1.36,0.0015,16,25.1
824,(2006 BM8),Apollo Asteroid,57800,1.5424,0.5307,5.1971,281.886,121.7661,304.7594,0.7239,2.36,1.92,0.0029,13,25.3
826,(2006 BA9),Aten Asteroid,57800,0.9124,0.3662,8.3214,25.6285,305.8707,19.8311,0.5783,1.25,0.87,0.0724,16,22.7
828,(2006 BN26),Apollo Asteroid,57800,1.9967,0.5102,1.5805,266.7737,178.3611,342.8495,0.9779,3.02,2.82,0.0261,10,23.5
829,(2006 BX26),Amor Asteroid,53762,2.2351,0.4868,6.7836,326.1529,121.9949,12.3407,1.147,3.32,3.34,0.1756,8,23.4
830,(2006 BW39),Apollo Asteroid,57800,1.9714,0.537,5.7645,227.6795,307.7665,343.5602,0.9128,3.03,2.77,0.0154,11,23.7
832,(2006 BF55),Amor Asteroid,57800,1.6967,0.3926,3.3548,172.1683,306.6418,5.2038,1.0305,2.36,2.21,0.0472,8,25.7
834,(2006 BL55),Apollo Asteroid,53764,1.4615,0.3121,3.9014,25.065,130.8524,348.2712,1.0054,1.92,1.77,0.0277,6,24.3
838,(2006 BG99),Apollo Asteroid,57800,1.4131,0.2867,4.6821,330.1715,131.3909,224.903,1.008,1.82,1.68,0.0384,7,25.7
840,(2006 BP147),Apollo Asteroid,53766,1.2874,0.2405,5.6007,123.0566,310.8124,36.2631,0.9777,1.6,1.46,0.047,5,26.5
842,(2006 CK),Apollo Asteroid,57800,1.0832,0.2144,5.1713,264.5393,310.884,226.3979,0.8509,1.32,1.13,0.0106,5,25.8
843,(2006 CL),Apollo Asteroid,57800,1.6627,0.4125,8.1458,151.7775,312.9454,64.7926,0.9769,2.35,2.14,0.0201,6,25.4
844,(2006 CL9),Amor Asteroid,57800,1.3461,0.2367,2.936,9.9767,139.3075,12.9992,1.0275,1.66,1.56,0.0402,28,22.8
848,(2006 DM),Amor Asteroid,57800,1.3551,0.212,7.0721,177.7818,333.9504,347.1588,1.0679,1.64,1.58,0.0786,9,24.1
849,(2006 DN),Apollo Asteroid,57800,1.3806,0.2761,0.2662,101.1921,96.6225,252.3736,0.9994,1.76,1.62,0.0043,23,24.5
850,(2006 DU),Apollo Asteroid,57800,1.9879,0.4947,4.1455,21.9369,151.7213,323.884,1.0046,2.97,2.8,0.0233,6,24.7
856,(2006 DD42),Amor Asteroid,57800,1.9895,0.4382,4.7452,171.1566,335.7716,332.3715,1.1178,2.86,2.81,0.1301,8,23.9
857,(2006 DR62),Amor Asteroid,53792,1.9693,0.4472,6.0781,345.5686,154.652,5.4828,1.0887,2.85,2.76,0.104,5,25.3
858,(2006 DS62),Apollo Asteroid,53793,2.2682,0.5706,1.8892,38.1251,153.5092,352.267,0.974,3.56,3.42,0.0104,6,26.7
859,(2006 DM63),Aten Asteroid,53794,0.6954,0.4978,1.7827,17.4258,336.4302,140.2426,0.3493,1.04,0.58,0.0007,6,26.7
860,(2006 DO63),Apollo Asteroid,53795,1.4563,0.4061,6.2362,66.3116,161.2782,330.8866,0.8649,2.05,1.76,0.0173,8,25.8
863,(2006 EC),Apollo Asteroid,57800,1.1377,0.2176,7.5868,245.6684,347.4754,322.5176,0.8902,1.39,1.21,0.0011,10,26.6
864,(2006 EE),Amor Asteroid,53801,1.7145,0.3894,8.8311,199.7887,353.5924,349.498,1.0468,2.38,2.25,0.0606,9,23.6
865,(2006 EW),Apollo Asteroid,57800,1.6531,0.4023,6.7524,327.9229,158.8557,69.1859,0.9881,2.32,2.13,0.0293,7,23.6
867,(2006 EY),Amor Asteroid,57800,1.4284,0.2764,3.9213,218.7032,349.7781,124.9435,1.0336,1.82,1.71,0.0488,9,25.1
868,(2006 EB1),Amor Asteroid,57800,2.1363,0.5166,9.2495,5.3316,160.6403,183.3593,1.0327,3.24,3.12,0.0422,10,23.4
870,(2006 EH1),Apollo Asteroid,53800,2.0334,0.5697,5.4992,49.9226,164.1635,347.8051,0.875,3.19,2.9,0.0037,5,26.5
871,(2006 EK53),Apollo Asteroid,53811,1.0253,0.5174,2.2242,41.1734,5.2107,70.8034,0.4948,1.56,1.04,0.0137,8,23.0
872,(2006 FH),Amor Asteroid,57800,2.097,0.506,3.4813,32.0905,180.7577,202.9508,1.036,3.16,3.04,0.0436,11,24.3
874,(2006 FV),Amor Asteroid,57800,1.3696,0.2317,9.5131,308.671,181.0284,323.2751,1.0523,1.69,1.6,0.1081,10,23.1
877,(2006 GC),Apollo Asteroid,53833,2.2021,0.5798,5.6601,62.187,187.061,347.7011,0.9254,3.48,3.27,0.0382,11,24.4
878,(2006 GB1),Apollo Asteroid,57800,1.1339,0.2883,0.8336,220.6712,76.4741,291.7376,0.807,1.46,1.21,0.0099,13,23.6
881,(2006 HW5),Amor Asteroid,53848,2.3931,0.5695,6.0302,176.4671,26.7833,1.5643,1.0303,3.76,3.7,0.0273,8,24.3
882,(2006 HZ5),Apollo Asteroid,57800,1.2015,0.2058,4.2793,307.416,202.8404,120.2975,0.9542,1.45,1.32,0.0104,14,24.5
883,(2006 HF6),Apollo Asteroid,57800,1.4079,0.55,6.5885,86.5617,29.4331,207.596,0.6336,2.18,1.67,0.0023,12,24.4
885,(2006 HX30),Amor Asteroid,57800,1.4843,0.3115,0.9832,40.0044,178.7043,357.5007,1.022,1.95,1.81,0.0187,13,26.2
886,(2006 HU50),Apollo Asteroid,57800,1.2877,0.2468,5.9056,214.3578,46.9199,115.8704,0.9699,1.61,1.46,0.0028,11,24.7
890,(2006 HX57),Apollo Asteroid,57800,1.808,0.495,0.197,160.1691,111.1218,142.5463,0.9131,2.7,2.43,0.0015,11,25.2
894,(2006 JM6),Amor Asteroid,53862,2.031,0.4887,9.1974,187.6049,42.6455,357.9461,1.0384,3.02,2.89,0.0318,8,23.7
896,(2006 JT41),Amor Asteroid,57800,1.7509,0.4023,1.7921,80.7558,117.4811,246.4656,1.0465,2.46,2.32,0.0549,10,24.5
898,(2006 KS1),Apollo Asteroid,53879,1.4692,0.3146,3.65,322.4048,237.5966,22.271,1.007,1.93,1.78,0.0242,9,25.4
899,(2006 KP21),Apollo Asteroid,53879,2.069,0.5205,5.0457,299.8296,237.0982,18.1143,0.9921,3.15,2.98,0.0561,7,23.6
901,(2006 KC40),Apollo Asteroid,57800,1.6675,0.5289,8.8097,260.4488,77.9342,319.3613,0.7855,2.55,2.15,0.0272,11,23.2
902,(2006 KY67),Apollo Asteroid,57800,2.072,0.5357,3.0365,174.2692,117.1232,199.2493,0.962,3.18,2.98,0.0221,18,23.0
903,(2006 KJ89),Amor Asteroid,57800,2.3836,0.5452,2.9923,95.6424,163.3871,325.0866,1.084,3.68,3.68,0.0879,11,23.9
905,(2006 KM89),Amor Asteroid,57800,1.5995,0.2758,3.0527,143.6893,118.3384,100.0282,1.1584,2.04,2.02,0.1467,10,23.6
906,(2006 KK103),Amor Asteroid,57800,2.1308,0.4625,8.1253,210.6545,70.1576,149.9643,1.1452,3.12,3.11,0.1452,9,22.5
907,(2006 KL103),Amor Asteroid,53887,1.4483,0.2845,0.3461,182.8735,50.6931,8.2781,1.0362,1.86,1.74,0.025,6,25.5
908,(2006 LB),Amor Asteroid,53888,1.6776,0.3233,6.954,354.7132,248.499,1.9557,1.1353,2.22,2.17,0.1224,5,23.8
911,(2006 LH),Apollo Asteroid,53890,1.0844,0.3155,7.8072,264.6388,95.3353,290.1963,0.7423,1.43,1.13,0.0086,9,24.8
912,(2006 LM),Apollo Asteroid,57800,1.7123,0.4324,6.667,215.774,74.2572,265.3683,0.972,2.45,2.24,0.0087,8,25.0
914,(2006 MV1),Apollo Asteroid,57800,1.3167,0.2416,4.2705,31.69,264.5752,9.8295,0.9986,1.63,1.51,0.0076,8,26.8
917,(2006 OY4),Amor Asteroid,57800,2.3683,0.5353,2.9364,232.0595,84.1427,322.0944,1.1006,3.64,3.64,0.0967,10,23.6
918,(2006 OB7),Amor Asteroid,57800,2.1045,0.512,6.5827,22.875,289.8174,161.3522,1.0269,3.18,3.05,0.0285,9,23.9
920,(2006 OE10),Amor Asteroid,57800,1.6519,0.3582,2.4647,332.9111,323.7973,353.5255,1.0601,2.24,2.12,0.0488,13,24.8
922,(2006 QX5),Amor Asteroid,57800,2.1221,0.4551,5.9938,6.4672,326.1689,139.7675,1.1564,3.09,3.09,0.1467,14,23.8
924,(2006 QK40),Apollo Asteroid,53977,2.12,0.572,2.6202,143.3348,133.7408,14.9582,0.9073,3.33,3.09,0.0063,10,24.0
927,(2006 QB58),Amor Asteroid,53980,2.115,0.48,5.896,325.1544,337.4542,12.1075,1.0997,3.13,3.08,0.1011,10,23.9
928,(2006 QV89),Apollo Asteroid,57800,1.1919,0.2244,1.0711,236.6936,166.0598,332.2487,0.9244,1.46,1.3,0.0002,13,25.3
931,(2006 RJ7),Apollo Asteroid,53995,1.8264,0.5803,1.8697,251.1426,177.0005,340.7201,0.7666,2.89,2.47,0.0011,8,23.7
934,(2006 SV5),Amor Asteroid,57800,1.4449,0.2933,4.8293,208.1948,182.2562,337.8351,1.0211,1.87,1.74,0.0366,20,23.1
935,(2006 SE6),Aten Asteroid,57800,0.8052,0.3454,4.8116,183.2031,347.3012,333.7687,0.5271,1.08,0.72,0.0367,17,22.8
936,(2006 SG7),Apollo Asteroid,57800,1.043,0.5616,4.7662,133.4496,2.1538,202.3448,0.4572,1.63,1.07,0.0185,17,22.9
937,(2006 SP19),Aten Asteroid,57800,0.8806,0.293,4.587,166.3108,358.2351,56.1068,0.6226,1.14,0.83,0.0456,13,24.2
938,(2006 SQ19),Amor Asteroid,57800,2.3521,0.5139,6.2421,14.0482,349.5711,315.1162,1.1433,3.56,3.61,0.1431,10,23.2
939,(2006 SD25),Amor Asteroid,57800,1.9147,0.4679,1.4477,37.5092,296.6472,340.4981,1.0188,2.81,2.65,0.0166,15,24.0
940,(2006 SK61),Apollo Asteroid,57800,1.3805,0.2643,0.3535,62.6113,304.5399,144.608,1.0156,1.75,1.62,0.0155,11,26.1
941,(2006 SO77),Apollo Asteroid,57800,1.817,0.4629,2.1455,339.8732,354.5817,96.4668,0.9759,2.66,2.45,0.0023,7,26.5
942,(2006 SN131),Amor Asteroid,57800,2.1205,0.52,6.0787,1.4679,2.8349,131.5501,1.0178,3.22,3.09,0.0162,9,26.3
945,(2006 SS131),Apollo Asteroid,57800,1.6235,0.3813,4.7313,159.7462,183.2776,17.0372,1.0044,2.24,2.07,0.0131,6,25.7
947,(2006 SR134),Apollo Asteroid,57800,1.8827,0.4621,1.5972,262.5361,45.1142,29.7627,1.0127,2.75,2.58,0.0271,13,23.1
948,(2006 SN198),Apollo Asteroid,54009,1.257,0.5117,1.6044,71.1,195.9621,41.5171,0.6138,1.9,1.41,0.0052,6,26.1
951,(2006 SV217),Apollo Asteroid,54012,1.3196,0.3514,0.8792,97.2862,179.5895,53.852,0.8559,1.78,1.52,0.0046,7,24.5
952,(2006 SF281),Apollo Asteroid,54009,1.3376,0.2642,3.0405,31.437,9.8503,341.1832,0.9842,1.69,1.55,0.0078,7,27.1
953,(2006 TF),Amor Asteroid,54011,2.3552,0.5656,3.5127,182.3746,187.8738,0.2185,1.023,3.69,3.61,0.0221,6,25.9
955,(2006 TO),Amor Asteroid,57800,2.4171,0.5156,4.7239,202.6903,204.8476,264.7507,1.1707,3.66,3.76,0.1834,11,23.0
958,(2006 TR7),Apollo Asteroid,57800,1.3293,0.3787,2.875,120.2877,182.8143,307.9942,0.8259,1.83,1.53,0.0075,8,25.1
959,(2006 UJ),Amor Asteroid,54027,2.2049,0.4879,5.3064,164.6071,203.4162,6.0113,1.1292,3.28,3.27,0.1306,7,23.9
960,(2006 UL),Amor Asteroid,57800,1.4015,0.2689,7.263,165.3557,204.5067,86.2644,1.0246,1.78,1.66,0.0328,7,26.1
961,(2006 UN),Amor Asteroid,57800,1.549,0.3307,0.4935,72.0734,323.3507,124.5255,1.0368,2.06,1.93,0.0446,17,25.5
962,(2006 UY16),Amor Asteroid,54029,2.1685,0.5275,3.2097,337.8142,21.2741,6.856,1.0247,3.31,3.19,0.0289,7,24.5
965,(2006 UT17),Amor Asteroid,57800,2.3414,0.5398,2.0287,49.6572,15.3674,308.4154,1.0776,3.61,3.58,0.0953,9,24.2
966,(2006 UU17),Apollo Asteroid,57800,2.3263,0.586,2.9063,151.6091,208.8278,331.6675,0.963,3.69,3.55,0.0035,7,26.6
968,(2006 UC185),Apollo Asteroid,57800,1.5257,0.3972,4.3031,307.5169,37.4783,189.7239,0.9197,2.13,1.88,0.0121,18,23.4
969,(2006 UE185),Amor Asteroid,54038,2.2787,0.4872,1.0421,183.7702,210.6404,0.6454,1.1685,3.39,3.44,0.1745,6,24.5
971,(2006 UY215),Apollo Asteroid,57800,1.3809,0.4592,9.3527,262.9654,215.7094,91.4585,0.7468,2.01,1.62,0.0143,7,23.1
973,(2006 UA216),Apollo Asteroid,57800,1.4558,0.316,6.7362,340.8588,42.7844,318.8655,0.9958,1.92,1.76,0.015,13,23.6
975,(2006 UP217),Apollo Asteroid,54040,1.2062,0.4918,1.528,82.8805,206.9183,50.2873,0.613,1.8,1.32,0.0011,5,24.9
976,(2006 VB),Apollo Asteroid,54042,1.7295,0.4248,8.695,325.0596,37.0078,14.7702,0.9948,2.46,2.27,0.0382,7,25.1
977,(2006 VU2),Amor Asteroid,54052,2.3369,0.5523,2.1845,172.4257,226.8279,2.242,1.0463,3.63,3.57,0.0541,6,26.0
978,(2006 VX2),Aten Asteroid,57800,0.9341,0.2906,9.8176,126.5408,47.2742,39.9298,0.6627,1.21,0.9,0.023,8,24.6
980,(2006 VE13),Apollo Asteroid,57800,1.8749,0.537,3.8337,305.9312,52.5419,13.1408,0.8681,2.88,2.57,0.0051,6,26.6
985,(2006 WV),Apollo Asteroid,57800,1.5321,0.5335,2.1511,80.8588,56.3191,115.7082,0.7147,2.35,1.9,0.0018,10,27.2
987,(2006 WU1),Amor Asteroid,54060,2.2595,0.5105,7.4883,311.0858,60.1194,12.0539,1.1061,3.41,3.4,0.1432,6,22.8
988,(2006 WV1),Aten Asteroid,57800,0.8279,0.2889,5.5817,149.502,61.6252,78.0542,0.5887,1.07,0.75,0.0103,6,25.9
990,(2006 WM3),Apollo Asteroid,54063,1.9852,0.5468,2.0099,36.3424,89.8687,341.8987,0.8997,3.07,2.8,0.0026,9,23.2
991,(2006 WP3),Apollo Asteroid,57800,1.3564,0.3394,7.4313,141.1631,221.1572,202.082,0.896,1.82,1.58,0.023,11,23.4
995,(2006 WV29),Apollo Asteroid,54063,1.3809,0.5593,1.1994,82.0304,75.3403,326.7626,0.6085,2.15,1.62,0.0004,6,26.5
996,(2006 WZ29),Apollo Asteroid,54064,2.2572,0.5711,4.8458,143.8407,226.8917,12.8482,0.968,3.55,3.39,0.0184,6,24.8
998,(2006 WB30),Amor Asteroid,54067,1.6493,0.3634,3.6536,359.7832,70.6062,358.126,1.05,2.25,2.12,0.0641,7,25.9
1001,(2006 WD129),Apollo Asteroid,54065,1.9008,0.5061,6.0741,319.3998,56.8023,14.0837,0.9388,2.86,2.62,0.0136,5,26.3
1006,(2006 WZ184),Apollo Asteroid,57800,1.3655,0.3282,0.8474,127.9418,249.3957,167.1556,0.9173,1.81,1.6,0.002,14,26.3
1008,(2006 XX),Amor Asteroid,57800,2.537,0.5822,5.2389,337.5238,81.2614,192.1187,1.06,4.01,4.04,0.0802,13,23.4
1009,(2006 XY),Apollo Asteroid,57800,1.4979,0.3385,3.6387,184.1267,257.9164,197.5474,0.9909,2.0,1.83,0.0072,14,24.0
1011,(2006 XJ2),Amor Asteroid,57800,1.6609,0.3423,8.6724,157.1266,257.7777,282.9245,1.0923,2.23,2.14,0.1158,9,24.0
1014,(2006 XZ2),Apollo Asteroid,57800,1.6952,0.4649,0.3039,12.7031,120.3947,201.4952,0.907,2.48,2.21,0.0024,10,27.1
1017,(2006 XO4),Aten Asteroid,57800,0.8389,0.3012,8.4663,29.0655,266.7343,214.6815,0.5862,1.09,0.77,0.0276,14,23.4
1018,(2006 XP4),Aten Asteroid,57800,0.8727,0.2147,0.5128,345.1012,295.0451,333.2948,0.6853,1.06,0.82,0.0042,28,23.9
1019,(2006 XQ4),Amor Asteroid,57800,1.4722,0.2957,6.133,182.9036,260.9494,248.8932,1.0368,1.91,1.79,0.0532,7,26.1
1024,(2006 YB),Apollo Asteroid,54090,2.0649,0.5108,4.4209,44.7514,75.557,351.7362,1.0101,3.12,2.97,0.0539,10,24.1
1025,(2006 YE),Apollo Asteroid,57800,1.7453,0.44,0.3212,211.2227,252.7474,140.4492,0.9774,2.51,2.31,0.0019,5,27.3
1027,(2006 YP),Apollo Asteroid,57800,1.1448,0.211,5.385,95.222,69.4112,53.76,0.9033,1.39,1.22,0.0259,10,23.7
1028,(2006 YH2),Amor Asteroid,54093,1.9635,0.4493,4.3588,342.6701,91.4632,5.7245,1.0813,2.85,2.75,0.0985,7,25.4
1030,(2006 YD12),Amor Asteroid,57800,1.8506,0.4478,3.8762,201.0922,283.1983,2.6086,1.0219,2.68,2.52,0.0436,11,22.6
1031,(2006 YH14),Amor Asteroid,57800,1.8534,0.4211,8.3503,185.1319,293.2551,358.9935,1.073,2.63,2.52,0.09,10,23.2
1034,(2007 AU2),Apollo Asteroid,54113,1.6118,0.4894,6.4965,66.4387,110.1724,338.3336,0.8229,2.4,2.05,0.0122,6,24.1
1035,(2007 BD),Aten Asteroid,57800,0.7336,0.3443,9.2676,359.2841,297.4881,198.2304,0.4811,0.99,0.63,0.0025,12,25.4
1037,(2007 BS2),Amor Asteroid,57800,1.5765,0.291,6.5179,9.2542,113.9493,31.6113,1.1177,2.04,1.98,0.1348,12,23.2
1039,(2007 BC8),Amor Asteroid,57800,2.0489,0.4995,2.1746,147.7913,10.9135,145.7742,1.0254,3.07,2.93,0.0392,14,22.5
1040,(2007 BD8),Apollo Asteroid,54132,1.434,0.4213,4.4417,267.0031,300.9603,325.4574,0.8298,2.04,1.72,0.0311,9,24.4
1042,(2007 BZ48),Apollo Asteroid,57800,1.7879,0.467,0.6797,53.8507,114.1236,59.6184,0.953,2.62,2.39,0.0053,10,26.0
1047,(2007 CU18),Apollo Asteroid,54144,2.0432,0.5435,7.0738,320.238,133.4368,13.6989,0.9327,3.15,2.92,0.0145,8,24.4
1051,(2007 CT26),Aten Asteroid,57800,0.8552,0.3868,2.8928,44.5081,321.6476,335.3178,0.5244,1.19,0.79,0.0024,20,23.4
1053,(2007 CC27),Apollo Asteroid,54148,1.6886,0.4932,2.1206,124.9709,324.2523,19.7879,0.8559,2.52,2.19,0.0011,10,27.0
1054,(2007 CX50),Apollo Asteroid,57800,1.2067,0.2259,7.5015,126.1791,322.4127,232.2419,0.9341,1.48,1.33,0.0156,11,24.7
1055,(2007 DC),Apollo Asteroid,54150,1.3516,0.3243,0.4076,278.0705,174.8853,30.1501,0.9132,1.79,1.57,0.0041,7,27.5
1057,(2007 DJ),Apollo Asteroid,57800,1.8681,0.4764,6.9354,29.4918,157.4411,316.1496,0.9781,2.76,2.55,0.0182,20,24.3
1058,(2007 DX),Amor Asteroid,57800,2.6147,0.5429,4.6425,198.0465,336.1079,125.1307,1.1952,4.03,4.23,0.2026,13,22.7
1059,(2007 DS7),Apollo Asteroid,57800,1.1804,0.3999,8.4495,270.7746,148.4194,331.1184,0.7083,1.65,1.28,0.0007,9,25.8
1061,(2007 DG8),Apollo Asteroid,57800,1.3602,0.3748,3.0693,90.0821,131.9915,72.192,0.8504,1.87,1.59,0.0215,8,25.3
1062,(2007 DH8),Amor Asteroid,57800,1.437,0.2633,4.4519,356.2299,149.5203,289.1865,1.0587,1.82,1.72,0.0708,8,24.9
1064,(2007 DM8),Aten Asteroid,57800,0.989,0.37,7.5986,61.3245,332.5336,133.7264,0.6231,1.35,0.98,0.0155,6,26.2
1066,(2007 DX40),Apollo Asteroid,57800,1.5361,0.538,0.446,276.9426,326.6533,56.6252,0.7096,2.36,1.9,0.0002,8,24.6
1068,(2007 DB61),Aten Asteroid,57800,0.8113,0.3649,5.3826,209.2348,159.2164,353.7872,0.5153,1.11,0.73,0.0131,10,23.6
1069,(2007 EG),Aten Asteroid,57800,0.7545,0.3683,3.1522,168.9669,166.3113,266.5089,0.4766,1.03,0.66,0.0089,13,24.6
1070,(2007 EO),Amor Asteroid,57800,1.9071,0.4566,5.4602,349.8055,190.7804,275.0423,1.0363,2.78,2.63,0.0407,13,22.8
1072,(2007 EV),Apollo Asteroid,57800,1.091,0.308,8.1758,268.593,357.3678,197.7207,0.755,1.43,1.14,0.0033,13,25.0
1075,(2007 EE26),Apollo Asteroid,57800,1.2449,0.2405,1.0313,123.2167,342.599,92.0138,0.9454,1.54,1.39,0.0055,6,26.1
1082,(2007 EF88),Amor Asteroid,57800,2.5088,0.5802,7.3249,325.21,166.5201,184.4931,1.0531,3.96,3.97,0.0899,11,23.4
1083,(2007 EG88),Apollo Asteroid,57800,1.6136,0.3744,1.0018,27.3977,168.4956,294.0894,1.0094,2.22,2.05,0.0119,6,26.9
1085,(2007 EN88),Apollo Asteroid,57800,2.1737,0.5905,8.9576,135.7619,353.5787,44.1546,0.8901,3.46,3.2,0.0003,5,26.6
1086,(2007 EO88),Apollo Asteroid,57800,1.1327,0.3373,5.9344,270.1673,356.199,38.1707,0.7506,1.51,1.21,0.0002,10,26.4
1088,(2007 FB),Apollo Asteroid,54176,1.3133,0.2633,5.8281,311.2691,171.9273,31.5139,0.9675,1.66,1.51,0.0281,5,26.2
1089,(2007 FC),Apollo Asteroid,54176,1.7147,0.4251,4.6616,314.7296,175.6685,17.9882,0.9858,2.44,2.25,0.037,5,26.1
1090,(2007 FG1),Amor Asteroid,57800,1.9473,0.4773,9.2704,7.1906,175.3549,232.1999,1.0178,2.88,2.72,0.0245,8,24.6
1091,(2007 FJ1),Amor Asteroid,57800,1.7989,0.4021,3.3311,50.3446,130.3376,37.7693,1.0755,2.52,2.41,0.0918,12,23.8
1094,(2007 FO3),Apollo Asteroid,54180,1.2688,0.2962,6.3129,262.1042,356.8573,311.6318,0.893,1.64,1.43,0.0411,6,24.5
1095,(2007 FQ3),Amor Asteroid,54180,2.2818,0.5362,1.9416,2.799,182.8621,358.436,1.0583,3.51,3.45,0.0604,6,25.6
1096,(2007 FR3),Apollo Asteroid,54180,1.8594,0.5046,1.6259,43.0489,182.5822,345.9194,0.9212,2.8,2.54,0.0017,5,27.5
1097,(2007 FS3),Apollo Asteroid,57800,1.5791,0.4157,3.2752,313.8855,178.7346,13.0036,0.9226,2.24,1.98,0.0048,5,26.1
1098,(2007 FY20),Apollo Asteroid,57800,1.4586,0.387,5.3729,230.3519,11.8709,196.0341,0.8942,2.02,1.76,0.0017,22,25.0
1101,(2007 GX5),Apollo Asteroid,54207,1.5857,0.5588,1.2428,41.8643,75.5478,28.5059,0.6996,2.47,2.0,0.0133,8,24.3
1103,(2007 HC),Apollo Asteroid,57800,1.1551,0.2072,3.1564,57.96,216.8443,283.205,0.9158,1.39,1.24,0.0031,9,25.2
1105,(2007 HY3),Amor Asteroid,54209,1.3828,0.2443,9.5422,190.5006,29.7479,353.8819,1.045,1.72,1.63,0.0423,5,25.6
