,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
188,(2001 SA170),Amor Asteroid,52182,2.1103,0.5036,2.6139,156.4928,190.3143,5.509,1.0474,3.17,3.07,0.0444,17,23.1
190,(2001 SP263),Apollo Asteroid,52177,2.0349,0.5476,1.5239,226.7858,178.472,348.7804,0.9206,3.15,2.9,0.0033,8,25.7
191,(2001 SE270),Apollo Asteroid,57800,1.2151,0.4815,5.366,107.587,357.0329,131.3371,0.6301,1.8,1.34,0.0153,6,25.1
192,(2001 SD286),Apollo Asteroid,52177,2.0843,0.5661,6.2372,130.1793,182.5832,12.1814,0.9044,3.26,3.01,0.0112,8,25.3
193,(2001 TB),Apollo Asteroid,57800,1.7087,0.5236,3.9561,245.3798,192.1885,285.7925,0.8141,2.6,2.23,0.0035,7,24.4
195,(2001 TY1),Apollo Asteroid,57800,2.4042,0.5942,5.8594,342.9554,9.5652,44.0461,0.9757,3.83,3.73,0.0047,11,25.0
198,(2001 UP),Aten Asteroid,57800,0.8833,0.2872,7.6961,133.3654,25.4686,53.8945,0.6296,1.14,0.83,0.0068,17,25.7
201,(2001 UN16),Apollo Asteroid,52220,1.8005,0.4515,1.6479,143.8787,210.4167,17.5389,0.9876,2.61,2.42,0.0094,9,23.4
202,(2001 UT16),Apollo Asteroid,52207,2.1632,0.5308,7.0213,190.3645,210.9834,357.4351,1.0149,3.31,3.18,0.0249,6,25.5
205,(2001 VD2),Amor Asteroid,57800,2.4215,0.5797,5.9962,195.2012,226.4809,17.6768,1.0178,3.83,3.77,0.0358,6,25.6
207,(2001 VM5),Apollo Asteroid,52227,2.4149,0.5862,5.8521,168.6077,231.7459,2.7123,0.9994,3.83,3.75,0.0141,7,25.1
209,(2001 VE76),Apollo Asteroid,52231,1.7498,0.5166,4.1859,262.2212,217.5448,340.027,0.8458,2.65,2.31,0.0329,8,23.6
210,(2001 WV1),Apollo Asteroid,52233,1.4018,0.4521,1.5014,287.7954,207.1498,327.1407,0.7681,2.04,1.66,0.0017,9,22.5
211,(2001 WJ4),Apollo Asteroid,57800,1.2559,0.2166,7.9062,18.7053,57.1747,288.6028,0.9839,1.53,1.41,0.0055,6,27.4
213,(2001 WJ15),Apollo Asteroid,57800,1.4845,0.5666,8.9484,88.0402,239.1604,182.69,0.6433,2.33,1.81,0.0061,8,23.6
214,(2001 WM15),Apollo Asteroid,52239,1.8654,0.5939,5.4111,250.9078,244.2073,341.8866,0.7574,2.97,2.55,0.0049,10,25.0
215,(2001 WO15),Apollo Asteroid,57800,1.8077,0.4951,7.7066,315.6202,65.9556,109.5023,0.9127,2.7,2.43,0.0102,12,22.6
216,(2001 WH49),Apollo Asteroid,52238,1.4639,0.3199,4.7366,141.8717,238.416,22.169,0.9955,1.93,1.77,0.0314,6,26.0
217,(2001 XG1),Apollo Asteroid,57800,2.0026,0.5994,3.0169,81.8307,56.192,112.7676,0.8023,3.2,2.83,0.0195,12,23.3
221,(2001 XK105),Amor Asteroid,57800,2.13,0.5002,7.6293,7.0236,79.9085,315.5456,1.0645,3.2,3.11,0.0819,12,23.8
223,(2001 YD1),Apollo Asteroid,52264,1.4892,0.465,7.0411,285.2007,85.9442,30.8513,0.7968,2.18,1.82,0.0165,8,24.4
231,(2002 AL31),Apollo Asteroid,57800,1.1768,0.2476,7.6131,247.0916,297.699,248.8793,0.8854,1.47,1.28,0.0127,12,24.5
232,(2002 AN129),Apollo Asteroid,52289,1.8257,0.5271,0.2894,74.4369,93.9794,344.388,0.8634,2.79,2.47,0.0021,6,26.2
235,(2002 CW11),Aten Asteroid,57800,0.8674,0.2261,3.1241,211.4221,136.7706,10.5956,0.6712,1.06,0.81,0.0108,10,26.1
240,(2002 CC26),Amor Asteroid,52320,2.2706,0.5432,5.4674,206.4918,325.4697,353.5167,1.0371,3.5,3.42,0.0578,12,24.4
242,(2002 DC3),Apollo Asteroid,52342,1.7013,0.4032,3.3718,355.0573,154.1976,8.4465,1.0154,2.39,2.22,0.027,7,26.1
243,(2002 DQ3),Amor Asteroid,57800,1.3874,0.2549,5.0503,160.277,340.5819,68.2631,1.0338,1.74,1.63,0.0506,20,23.8
244,(2002 EC),Amor Asteroid,57800,2.1497,0.5193,0.9174,160.6678,349.7772,271.0233,1.0333,3.27,3.15,0.0448,27,23.4
246,(2002 EM7),Aten Asteroid,57800,0.9208,0.3634,1.5582,58.9282,345.9675,48.4689,0.5862,1.26,0.88,0.0006,15,24.4
248,(2002 EW11),Apollo Asteroid,52350,1.5164,0.4276,3.7925,66.5371,169.9213,335.0138,0.868,2.16,1.87,0.0126,11,24.8
250,(2002 FW1),Aten Asteroid,57800,0.8231,0.3425,6.6015,223.1835,163.9989,108.4519,0.5412,1.1,0.75,0.0088,7,24.0
251,(2002 FS6),Apollo Asteroid,52357,1.8368,0.4532,7.5407,150.1793,1.4393,10.8512,1.0044,2.67,2.49,0.0374,6,24.8
252,(2002 FT6),Aten Asteroid,57800,0.9884,0.4626,9.4878,226.6895,188.5339,134.2663,0.5311,1.45,0.98,0.041,20,22.5
254,(2002 GR),Apollo Asteroid,57800,1.2013,0.2074,7.3249,313.7556,183.8047,142.2764,0.9521,1.45,1.32,0.0062,17,23.2
255,(2002 GG1),Apollo Asteroid,57800,2.3201,0.5674,5.8105,213.8829,8.9924,64.5217,1.0036,3.64,3.53,0.0336,10,23.5
256,(2002 GJ1),Apollo Asteroid,52369,1.995,0.5016,6.9767,35.258,187.9121,351.1442,0.9943,3.0,2.82,0.0326,6,23.3
260,(2002 JD9),Apollo Asteroid,57800,1.0557,0.4404,6.6138,138.9845,208.2594,156.2272,0.5908,1.52,1.08,0.0537,19,23.2
262,(2002 JQ97),Amor Asteroid,57800,2.0903,0.4928,0.8225,14.4331,253.0821,307.556,1.0602,3.12,3.02,0.0446,34,22.9
263,(2002 JR100),Aten Asteroid,57800,0.9244,0.2984,3.7261,253.8932,202.8534,325.9244,0.6485,1.2,0.89,0.0189,13,24.3
267,(2002 MN),Apollo Asteroid,57800,1.8147,0.4983,1.0489,131.4772,85.2793,15.2596,0.9103,2.72,2.44,0.0007,17,23.6
270,(2002 PX39),Apollo Asteroid,57800,2.4612,0.5942,1.8022,140.6647,135.3294,281.758,0.9987,3.92,3.86,0.0117,15,23.4
271,(2002 PE43),Amor Asteroid,52498,2.0727,0.5038,7.7766,8.8435,318.7272,357.882,1.0285,3.12,2.98,0.0185,7,24.1
272,(2002 RO28),Apollo Asteroid,57800,1.5022,0.3313,6.1869,209.0379,163.059,291.3738,1.0045,2.0,1.84,0.0223,8,25.4
275,(2002 RS129),Apollo Asteroid,57800,1.0308,0.3282,8.4196,247.0546,338.9386,11.1521,0.6925,1.37,1.05,0.0172,12,23.0
278,(2002 TX55),Apollo Asteroid,57800,2.2338,0.5729,4.3891,149.0014,190.1018,117.6184,0.9541,3.51,3.34,0.0024,17,23.7
283,(2002 TY59),Apollo Asteroid,57800,1.0186,0.2335,6.6125,259.1772,9.8029,63.8204,0.7808,1.26,1.03,0.0031,16,25.5
285,(2002 TG66),Apollo Asteroid,52556,1.8972,0.5416,4.7243,140.3168,174.2829,18.3236,0.8697,2.92,2.61,0.0162,6,23.9
289,(2002 TZ68),Amor Asteroid,52558,2.2136,0.5369,3.0431,2.6742,13.6411,0.4471,1.0251,3.4,3.29,0.0259,6,26.4
291,(2002 UV36),Apollo Asteroid,57800,2.4568,0.5988,2.8691,356.1194,32.5897,255.6225,0.9857,3.93,3.85,0.0046,8,26.5
295,(2002 VX91),Aten Asteroid,57800,0.984,0.2012,2.3417,78.743,216.4261,308.3557,0.786,1.18,0.98,0.0017,14,24.3
296,(2002 VY91),Apollo Asteroid,57800,2.3245,0.584,3.4239,155.8922,228.0716,14.1394,0.9669,3.68,3.54,0.0034,7,26.3
297,(2002 VZ91),Apollo Asteroid,52594,1.5773,0.3849,3.4882,328.7606,49.0701,15.3882,0.9702,2.18,1.98,0.0079,7,26.1
298,(2002 VU114),Apollo Asteroid,57800,1.1806,0.2856,2.7768,151.1617,352.8466,338.4525,0.8434,1.52,1.28,0.0344,13,22.8
299,(2002 XT4),Apollo Asteroid,57800,1.6093,0.4228,7.5097,313.2172,67.2941,4.032,0.9288,2.29,2.04,0.019,9,24.0
300,(2002 XS14),Apollo Asteroid,57800,2.0084,0.4969,4.48,189.0462,255.1951,351.6952,1.0104,3.01,2.85,0.0281,9,24.2
302,(2002 XB40),Apollo Asteroid,57800,1.8563,0.5546,6.8156,118.4961,255.4347,237.2006,0.8268,2.89,2.53,0.0094,7,23.9
305,(2002 XV90),Apollo Asteroid,57800,1.5768,0.3754,9.969,356.2673,79.0177,58.6429,0.9849,2.17,1.98,0.0014,8,25.5
306,(2002 YO2),Amor Asteroid,57800,1.5013,0.295,6.436,187.7,278.7206,240.8118,1.0584,1.94,1.84,0.0763,15,22.7
307,(2002 YG4),Apollo Asteroid,57800,1.4631,0.309,9.7283,177.3887,283.6947,354.0087,1.011,1.92,1.77,0.0282,10,24.0
309,(2003 AS42),Apollo Asteroid,57800,1.5028,0.3417,9.989,24.1894,107.368,226.3642,0.9893,2.02,1.84,0.025,7,25.3
311,(2003 BM4),Apollo Asteroid,57800,1.1984,0.3372,9.6601,84.602,125.4376,209.109,0.7944,1.6,1.31,0.0204,9,25.1
313,(2003 BS35),Apollo Asteroid,52671,1.2554,0.2069,8.4911,27.1318,127.4505,346.009,0.9957,1.52,1.41,0.0263,7,24.7
314,(2003 BC44),Apollo Asteroid,52669,2.1035,0.5563,7.069,120.3762,308.4611,16.4594,0.9333,3.27,3.05,0.0521,5,25.5
315,(2003 BC46),Amor Asteroid,57800,2.0216,0.3882,4.5325,314.2448,154.009,329.1623,1.2369,2.81,2.87,0.2609,10,23.6
316,(2003 BS47),Apollo Asteroid,52671,2.0975,0.5202,4.8776,358.1389,131.6725,0.661,1.0064,3.19,3.04,0.0213,5,25.8
320,(2003 DW10),Apollo Asteroid,57800,1.4462,0.3609,2.1944,221.067,342.1775,350.4099,0.9243,1.97,1.74,0.0005,12,26.1
321,(2003 DY15),Apollo Asteroid,57800,1.23,0.3282,6.3077,253.039,342.8845,42.648,0.8263,1.63,1.36,0.0035,10,26.3
324,(2003 EP16),Amor Asteroid,57800,1.7161,0.3949,8.4864,312.7336,163.0962,94.4913,1.0385,2.39,2.25,0.0982,10,23.0
326,(2003 EC50),Apollo Asteroid,52711,2.1774,0.5821,5.901,201.4038,21.293,347.5094,0.91,3.44,3.21,0.0309,12,22.9
330,(2003 FF5),Apollo Asteroid,57800,1.3694,0.3038,6.3423,54.141,192.8509,208.1119,0.9533,1.79,1.6,0.0257,23,23.2
331,(2003 FJ8),Apollo Asteroid,57800,1.8213,0.5154,1.5719,125.8448,10.9714,247.7029,0.8825,2.76,2.46,0.0026,7,26.7
333,(2003 GJ21),Amor Asteroid,57800,1.811,0.4004,7.0622,207.2988,32.8591,229.4969,1.0859,2.54,2.44,0.0894,21,22.9
334,(2003 GS22),Amor Asteroid,57800,2.7349,0.5754,2.6534,6.3587,147.9215,25.9787,1.1611,4.31,4.52,0.1716,7,23.1
336,(2003 HW10),Apollo Asteroid,57800,1.7981,0.5322,3.9115,239.4629,37.6919,243.7476,0.8412,2.75,2.41,0.0014,8,27.0
337,(2003 HT42),Aten Asteroid,57800,0.8148,0.2615,4.8839,352.2935,38.8055,108.6837,0.6017,1.03,0.74,0.0128,13,24.8
338,(2003 JX2),Apollo Asteroid,57800,1.1156,0.2435,9.6885,276.3874,219.2347,312.005,0.8439,1.39,1.18,0.0088,5,26.4
340,(2003 JG4),Amor Asteroid,52766,2.2832,0.4521,2.1853,328.5658,238.8718,5.7555,1.251,3.32,3.45,0.2475,7,22.9
341,(2003 JD11),Apollo Asteroid,57800,1.7538,0.5448,8.5072,75.1967,220.552,314.9068,0.7983,2.71,2.32,0.0226,11,24.3
342,(2003 JO14),Apollo Asteroid,57800,1.2247,0.3405,7.1002,95.7931,49.9796,104.0935,0.8077,1.64,1.36,0.0135,7,25.2
343,(2003 KF4),Apollo Asteroid,57800,2.329,0.571,8.2688,157.3865,60.79,318.4664,0.9991,3.66,3.55,0.0119,13,23.3
346,(2003 LW2),Apollo Asteroid,57800,1.8782,0.4786,2.3006,335.5468,247.0505,126.9427,0.9793,2.78,2.57,0.0013,9,26.0
347,(2003 LN6),Aten Asteroid,57800,0.8565,0.2104,0.6361,210.7514,215.5053,291.5611,0.6763,1.04,0.79,0.0007,17,24.6
353,(2003 QU5),Apollo Asteroid,57800,1.4371,0.3267,2.1409,85.5401,287.877,278.8791,0.9677,1.91,1.72,0.0295,9,24.2
354,(2003 QB30),Apollo Asteroid,57800,1.2306,0.4176,0.6411,107.6922,314.9712,270.2562,0.7166,1.74,1.37,0.0026,14,26.8
355,(2003 RE2),Amor Asteroid,57800,2.4656,0.5413,2.496,33.1273,299.3703,173.821,1.131,3.8,3.87,0.1234,16,23.0
356,(2003 RD5),Amor Asteroid,57800,1.3962,0.2458,8.6931,170.2221,155.8319,64.9836,1.053,1.74,1.65,0.0455,9,23.4
359,(2003 SL36),Apollo Asteroid,52903,1.4135,0.4062,3.9678,289.0513,359.0932,31.0795,0.8393,1.99,1.68,0.0074,9,26.4
360,(2003 SH84),Amor Asteroid,57800,1.7003,0.3157,2.323,134.6068,268.7002,353.8261,1.1635,2.24,2.22,0.1757,14,23.1
362,(2003 SR84),Apollo Asteroid,57800,1.7067,0.4766,7.5314,229.7029,183.393,345.3555,0.8933,2.52,2.23,0.0031,23,26.0
363,(2003 SV159),Amor Asteroid,57800,2.1616,0.521,5.0311,135.9642,199.8813,82.8087,1.0353,3.29,3.18,0.0605,15,22.9
364,(2003 SN214),Apollo Asteroid,57800,2.0358,0.5491,8.3456,285.2162,353.0292,243.8477,0.918,3.15,2.9,0.073,8,22.7
365,(2003 SH215),Amor Asteroid,52909,2.2357,0.4387,2.031,255.8238,83.1243,6.3797,1.2548,3.22,3.34,0.2482,6,24.9
366,(2003 SM215),Apollo Asteroid,57800,2.1033,0.5617,4.9802,41.0491,5.8118,130.5502,0.922,3.28,3.05,0.0036,6,27.5
367,(2003 TK1),Amor Asteroid,57800,1.5209,0.2931,5.7285,186.1774,200.0654,36.885,1.0751,1.97,1.88,0.0797,15,24.4
370,(2003 UD5),Amor Asteroid,57800,2.3418,0.564,5.357,17.5828,32.4653,251.474,1.0211,3.66,3.58,0.0374,21,23.3
371,(2003 UW5),Amor Asteroid,57800,2.4712,0.5775,1.8655,52.4712,16.786,144.2809,1.044,3.9,3.88,0.0639,13,24.3
372,(2003 UE8),Amor Asteroid,57800,1.9356,0.4734,6.5571,353.3592,33.6604,341.2316,1.0192,2.85,2.69,0.0267,8,24.9
376,(2003 UQ12),Apollo Asteroid,52937,1.7099,0.5252,5.4082,291.4005,31.8335,21.8114,0.8119,2.61,2.24,0.0098,10,24.9
379,(2003 UE22),Amor Asteroid,57800,2.3363,0.549,8.1338,356.3096,29.3643,260.5319,1.0538,3.62,3.57,0.0594,10,24.7
383,(2003 UR25),Apollo Asteroid,52937,1.8912,0.4863,5.6318,46.2961,23.7412,347.7486,0.9715,2.81,2.6,0.0359,5,25.5
384,(2003 UX26),Apollo Asteroid,57800,1.1552,0.3657,4.5497,264.0249,35.3198,311.9703,0.7328,1.58,1.24,0.0089,11,24.5
386,(2003 WE),Apollo Asteroid,57800,1.1989,0.2419,5.3718,285.2423,58.4098,79.0223,0.9089,1.49,1.31,0.0285,12,24.6
389,(2003 WY87),Amor Asteroid,57800,2.4088,0.5179,9.4415,6.0996,54.1891,192.9347,1.1613,3.66,3.74,0.1747,8,22.6
390,(2003 WH98),Apollo Asteroid,57800,2.1497,0.5362,3.542,353.5504,68.6792,71.9502,0.9971,3.3,3.15,0.0121,9,26.6
392,(2003 WY153),Apollo Asteroid,57800,2.465,0.5929,1.183,211.3309,210.8678,149.3116,1.0036,3.93,3.87,0.0197,13,24.4
394,(2003 XV),Apollo Asteroid,57800,1.9426,0.5554,4.5559,230.9416,252.7339,318.067,0.8637,3.02,2.71,0.0025,12,26.7
396,(2003 XH10),Apollo Asteroid,57800,1.3216,0.2436,9.64,12.3341,70.598,242.4142,0.9997,1.64,1.52,0.0187,7,25.5
398,(2003 YN1),Apollo Asteroid,57800,1.3355,0.2433,5.2445,147.9746,274.1936,205.7438,1.0105,1.66,1.54,0.0424,6,24.9
400,(2003 YT70),Amor Asteroid,57800,1.5935,0.3485,0.3713,10.2093,74.5448,203.4266,1.0382,2.15,2.01,0.0546,8,25.8
401,(2003 YP94),Apollo Asteroid,57800,2.1693,0.5352,8.1598,211.832,263.2509,34.2238,1.0082,3.33,3.2,0.0547,9,23.8
403,(2003 YH111),Apollo Asteroid,57800,1.4173,0.486,4.3684,84.2998,91.7261,249.1837,0.7285,2.11,1.69,0.0082,7,24.5
405,(2003 YG136),Aten Asteroid,57800,0.9685,0.3548,2.7358,127.9442,86.5281,203.8002,0.6249,1.31,0.95,0.012,6,25.3
406,(2004 AD),Apollo Asteroid,57800,1.2589,0.2629,7.3053,302.4152,110.5632,133.5931,0.9279,1.59,1.41,0.0249,16,24.4
407,(2004 AD1),Apollo Asteroid,57800,1.9147,0.563,6.1813,109.8768,300.0329,356.7902,0.8367,2.99,2.65,0.0282,13,22.5
408,(2004 AE6),Apollo Asteroid,53025,1.4889,0.3766,6.6967,250.8752,298.1506,326.6457,0.9282,2.05,1.82,0.0552,10,24.4
409,(2004 BY1),Aten Asteroid,57800,0.8841,0.2219,3.6092,28.2405,298.8179,43.0827,0.6879,1.08,0.83,0.0213,10,24.5
410,(2004 BF11),Amor Asteroid,57800,1.8936,0.4059,1.805,199.1833,277.0222,8.4176,1.125,2.66,2.61,0.1419,10,24.0
411,(2004 BH11),Apollo Asteroid,53024,1.2648,0.3269,4.339,83.0489,309.7777,49.9013,0.8513,1.68,1.42,0.0172,7,24.1
412,(2004 BV18),Apollo Asteroid,57800,1.3344,0.2543,2.1717,170.8508,302.0689,177.011,0.9951,1.67,1.54,0.0125,15,25.9
413,(2004 BW18),Amor Asteroid,57800,1.3728,0.2531,5.113,200.9918,302.979,31.7355,1.0253,1.72,1.61,0.0461,21,22.5
415,(2004 BN41),Apollo Asteroid,53030,2.0757,0.5216,0.4008,144.9317,331.6645,2.7794,0.993,3.16,2.99,0.01,8,26.1
418,(2004 BK86),Apollo Asteroid,53035,1.4505,0.5122,2.294,261.7317,311.3244,330.501,0.7075,2.19,1.75,0.0009,5,25.4
419,(2004 CC),Apollo Asteroid,53041,1.4307,0.3092,7.606,199.1951,324.3158,346.9132,0.9884,1.87,1.71,0.012,6,23.6
420,(2004 CQ),Amor Asteroid,57800,2.032,0.4947,6.4061,184.3115,321.9682,176.1573,1.0267,3.04,2.9,0.0398,12,24.7
421,(2004 CZ1),Apollo Asteroid,57800,1.541,0.4553,2.0014,65.8371,146.8627,260.5874,0.8394,2.24,1.91,0.0041,17,24.4
425,(2004 EL20),Aten Asteroid,57800,0.8148,0.2684,7.5947,337.6832,356.0056,62.3877,0.5962,1.03,0.74,0.007,5,26.7
429,(2004 FA),Apollo Asteroid,57800,2.1215,0.5932,9.1639,56.5036,179.7919,48.1688,0.8629,3.38,3.09,0.0154,17,23.2
431,(2004 FH),Aten Asteroid,57800,0.8181,0.2891,0.021,36.6707,290.9314,36.5093,0.5816,1.05,0.74,0.0,20,25.7
433,(2004 FY1),Apollo Asteroid,53083,1.9529,0.588,8.975,61.4244,180.2561,344.5987,0.8046,3.1,2.73,0.0004,5,26.3
435,(2004 FY3),Apollo Asteroid,53090,1.9797,0.5568,5.4247,128.6923,359.8077,15.5765,0.8774,3.08,2.79,0.0052,7,25.4
437,(2004 FM4),Apollo Asteroid,53090,2.0256,0.5934,2.687,289.002,186.0433,17.6755,0.8237,3.23,2.88,0.0109,7,25.1
438,(2004 FP4),Amor Asteroid,57800,1.9967,0.4711,2.1177,197.0004,24.6018,192.6265,1.0561,2.94,2.82,0.0496,19,23.1
440,(2004 FK5),Apollo Asteroid,53088,2.2445,0.5507,5.521,173.4505,2.4321,1.8532,1.0084,3.48,3.36,0.0138,7,26.8
442,(2004 FY15),Apollo Asteroid,57800,1.8544,0.4791,3.4936,207.3343,6.0404,30.2738,0.966,2.74,2.53,0.0015,7,26.1
444,(2004 FB18),Amor Asteroid,57800,1.6636,0.3677,5.7359,23.3274,185.7541,353.4856,1.0518,2.28,2.15,0.0591,16,24.0
446,(2004 FG29),Aten Asteroid,57800,0.8787,0.4925,3.5072,142.2236,183.1884,149.5756,0.4459,1.31,0.82,0.01,7,26.0
